,Company name,Symbol,Stock price (USD),Sector,Industry,Market
0,Agilent Technologies,A,$154.75,Health Technology,Medical Specialties,NYSE
1,Alcoa,AA,$57.11,Non-Energy Minerals,Aluminum,NYSE
2,American Airlines,AAL,$20.02,Transportation,Airlines,NASDAQ
3,Advance Auto Parts,AAP,$220.99,Retail Trade,Specialty Stores,NYSE
4,Apple,AAPL,$144.52,Electronic Technology,Telecommunications Equipment,NASDAQ
5,AbbVie,ABBV,$108.07,Health Technology,Pharmaceuticals: Major,NYSE
6,Ambev,ABEV,$2.75,Consumer Non-Durables,Beverages: Alcoholic,NYSE
7,Airbnb Inc,ABNB,$170.26,Technology Services,Internet Software/Services,NASDAQ
8,Abbott Labs,ABT,$117.13,Health Technology,Medical Specialties,NYSE
9,ACE Convergence Acquisition Corp,ACEV,$9.94,Finance,Financial Conglomerates,NASDAQ
10,Archer Aviation,ACHR,$6.99,Finance,Financial Conglomerates,NYSE
11,Accenture Plc,ACN,$343.38,Technology Services,Information Technology Services,NYSE
12,Adobe,ADBE,$613.82,Technology Services,Packaged Software,NASDAQ
13,Analog Devices,ADI,$172.56,Electronic Technology,Semiconductors,NASDAQ
14,Archer-Daniels-Midland,ADM,$63.95,Process Industries,Agricultural Commodities/Milling,NYSE
15,Automatic Data Processing,ADP,$212.55,Technology Services,Data Processing Services,NASDAQ
16,Autodesk,ADSK,$290.08,Technology Services,Packaged Software,NASDAQ
17,American Eagle Outfitters,AEO,$24.21,Retail Trade,Apparel/Footwear Retail,NYSE
18,American Electric Power,AEP,$83.02,Utilities,Electric Utilities,NASDAQ
19,The AES Corporation,AES,$23.84,Utilities,Electric Utilities,NYSE
20,Aflac,AFL,$55.41,Finance,Life/Health Insurance,NYSE
21,Affirm Holdings,AFRM,$156.33,Technology Services,Internet Software/Services,NASDAQ
22,First Majestic Silver Corp,AG,$12.35,Non-Energy Minerals,Precious Metals,NYSE
23,Agilon Health,AGL,$23.56,Health Services,Medical/Nursing Services,NYSE
24,AGNC Investment,AGNC,$16.28,Finance,Real Estate Investment Trusts,NASDAQ
25,C3.ai Inc,AI,$46.25,Technology Services,Packaged Software,NYSE
26,AIG,AIG,$58.26,Finance,Multi-Line Insurance,NYSE
27,Akamai Technologies,AKAM,$106.86,Technology Services,Internet Software/Services,NASDAQ
28,Air Lease Corporation,AL,$41.88,Finance,Finance/Rental/Leasing,NYSE
29,Albemarle Corporation,ALB,$235.31,Process Industries,Chemicals: Specialty,NYSE
30,Align Technology,ALGN,$584.02,Health Technology,Medical Specialties,NASDAQ
31,Alight,ALIT,$11.24,Technology Services,Information Technology Services,NYSE
32,Allstate,ALL,$126.08,Finance,Property/Casualty Insurance,NYSE
33,Allot Communications,ALLT,$14.47,Electronic Technology,Computer Communications,NASDAQ
34,Ally Financial,ALLY,$55.20,Finance,Regional Banks,NYSE
35,Antero Midstream Partners LP,AM,$11.42,Industrial Services,Oil & Gas Pipelines,NYSE
36,Applied Materials,AMAT,$131.74,Producer Manufacturing,Industrial Machinery,NASDAQ
37,AMC,AMC,$42.44,Consumer Services,Movies/Entertainment,NYSE
38,Advanced Micro Devices,AMD,$114.08,Electronic Technology,Semiconductors,NASDAQ
39,Ametek,AME,$127.95,Producer Manufacturing,Electrical Products,NYSE
40,Amgen,AMGN,$204.33,Health Technology,Biotechnology,NASDAQ
41,American Homes 4 Rent,AMH,$39.52,Finance,Real Estate Investment Trusts,NYSE
42,Ameresco,AMRC,$63.38,Industrial Services,Engineering & Construction,NYSE
43,Amneal Pharmaceuticals,AMRX,$5.62,Health Technology,Pharmaceuticals: Major,NYSE
44,American Tower,AMT,$267.54,Finance,Real Estate Investment Trusts,NYSE
45,Amazon,AMZN,"$3,404.00",Retail Trade,Internet Retail,NASDAQ
46,Arista Networks,ANET,$393.14,Electronic Technology,Computer Communications,NYSE
47,Abercrombie & Fitch,ANF,$38.99,Retail Trade,Apparel/Footwear Retail,NYSE
48,ANGI Homeservices,ANGI,$12.83,Technology Services,Internet Software/Services,NASDAQ
49,Ansys,ANSS,$356.85,Technology Services,Packaged Software,NASDAQ
50,Anthem,ANTM,$391.92,Health Services,Managed Health Care,NYSE
51,AO Smith,AOS,$65.58,Producer Manufacturing,Building Products,NYSE
52,Apache,APA,$27.50,Energy Minerals,Oil & Gas Production,NASDAQ
53,Air Products and Chemicals,APD,$292.26,Process Industries,Chemicals: Specialty,NYSE
54,Amphenol,APH,$77.25,Electronic Technology,Electronic Components,NYSE
55,AppLovin Corp,APP,$92.96,Technology Services,Packaged Software,NASDAQ
56,Appian Corporation,APPN,$91.73,Technology Services,Packaged Software,NASDAQ
57,Digital Turbine,APPS,$86.24,Technology Services,Internet Software/Services,NASDAQ
58,Apollo Strategic Growth Capital,APSG,$9.81,Finance,Finance/Rental/Leasing,NYSE
59,Antero Resources Corporation,AR,$20.51,Energy Minerals,Oil & Gas Production,NYSE
60,Ares Capital,ARCC,$21.02,Finance,Investment Managers,NASDAQ
61,Arcturus Therapeutics Holdings Inc,ARCT,$45.62,Health Technology,Pharmaceuticals: Major,NASDAQ
62,Apollo Commercial Real Estate Finance,ARI,$15.36,Finance,Real Estate Investment Trusts,NYSE
63,Aramark,ARMK,$36.20,Consumer Services,Restaurants,NYSE
64,Arconic,ARNC,$31.09,Non-Energy Minerals,Aluminum,NYSE
65,ARMOUR Residential,ARR,$10.72,Finance,Real Estate Investment Trusts,NYSE
66,Arrival Group,ARVL,$14.30,Consumer Durables,Motor Vehicles,NASDAQ
67,Asana Inc,ASAN,$116.50,Technology Services,Packaged Software,NYSE
68,ASML Holding,ASML,$778.01,Producer Manufacturing,Industrial Machinery,NASDAQ
69,Autohome,ATHM,$49.63,Technology Services,Internet Software/Services,NYSE
70,ATI Physical Therapy,ATIP,$3.45,Finance,Financial Conglomerates,NYSE
71,AptarGroup,ATR,$128.13,Process Industries,Containers/Packaging,NYSE
72,Altice USA,ATUS,$17.31,Consumer Services,Cable/Satellite TV,NYSE
73,Altimeter Growth Corporation,ATUS,$17.31,Consumer Services,Cable/Satellite TV,NYSE
74,Activision Blizzard,ATVI,$75.43,Consumer Durables,Recreational Products,NASDAQ
75,AngloGold Ashanti,AU,$18.73,Non-Energy Minerals,Precious Metals,NYSE
76,Yamana Gold,AUY,$4.35,Non-Energy Minerals,Precious Metals,NYSE
77,AvalonBay Communities,AVB,$230.66,Finance,Real Estate Investment Trusts,NYSE
78,Broadcom,AVGO,$502.00,Electronic Technology,Semiconductors,NASDAQ
79,Avalara,AVLR,$173.25,Technology Services,Packaged Software,NYSE
80,AvePoint,AVPT,$8.49,Technology Services,Data Processing Services,NASDAQ
81,American Axle & Manufacturing,AXL,$10.51,Producer Manufacturing,Auto Parts: OEM,NYSE
82,Axon Enterprise Inc,AXON,$179.06,Electronic Technology,Aerospace & Defense,NASDAQ
83,American Express,AXP,$176.74,Finance,Finance/Rental/Leasing,NYSE
84,Axalta Coating Systems,AXTA,$30.85,Process Industries,Industrial Specialties,NYSE
85,Atlantica Sustainable Infrastructure,AY,$36.06,Utilities,Alternative Power Generation,NASDAQ
86,Alteryx,AYX,$75.95,Technology Services,Packaged Software,NYSE
87,AstraZeneca PLC,AZN,$59.69,Health Technology,Pharmaceuticals: Major,NASDAQ
88,AutoZone,AZO,"$1,756.33",Retail Trade,Specialty Stores,NYSE
89,Boeing,BA,$215.41,Electronic Technology,Aerospace & Defense,NYSE
90,Alibaba,BABA,$168.46,Retail Trade,Internet Retail,NYSE
91,Bank of America,BAC,$46.62,Finance,Major Banks,NYSE
92,Booz Allen Hamilton,BAH,$80.04,Commercial Services,Miscellaneous Commercial Services,NYSE
93,Brookfield Asset Management Inc.,BAM,$58.31,Finance,Investment Managers,NYSE
94,Brookfield Asset Management Reinsurance Partners,BAMR,$60.41,Finance,Financial Conglomerates,NYSE
95,Credicorp,BAP,$133.92,Finance,Regional Banks,NYSE
96,The Original BARK Company,BARK,$6.23,Finance,Financial Conglomerates,NYSE
97,Baxter,BAX,$78.84,Health Technology,Medical Specialties,NYSE
98,BlackBerry,BB,$10.19,Technology Services,Packaged Software,NYSE
99,BBVA Banco Francés,BBAR,$3.89,Finance,Regional Banks,NYSE
100,Banco Bradesco S.A. – Preferred Shares,BBD,$3.87,Finance,Major Banks,NYSE
101,Bath&Body Works,BBWI,$65.50,Retail Trade,Apparel/Footwear Retail,NYSE
102,Best Buy,BBY,$114.90,Retail Trade,Electronics/Appliance Stores,NYSE
103,Barclays PLC,BCS,$11.12,Finance,Major Banks,NYSE
104,Belden,BDC,$60.52,Producer Manufacturing,Electrical Products,NYSE
105,Becton Dickinson,BDX,$240.19,Health Technology,Medical Specialties,NYSE
106,Bloom Energy,BE,$21.19,Producer Manufacturing,Electrical Products,NYSE
107,Franklin Resources,BEN,$29.77,Finance,Investment Managers,NYSE
108,Brookfield Renewable Partners,BEP,$37.84,Utilities,Electric Utilities,NYSE
109,Brookfield Renewable Corporation,BEPC,$39.73,Utilities,Electric Utilities,NYSE
110,Brown Forman,BF.B,$69.22,Consumer Non-Durables,Beverages: Alcoholic,NYSE
111,Bunge,BG,$85.61,Process Industries,Agricultural Commodities/Milling,NYSE
112,Bausch Health Companies,BHC,$28.06,Health Technology,Pharmaceuticals: Other,NYSE
113,BHP Billiton,BHP,$57.25,Non-Energy Minerals,Other Metals/Minerals,NYSE
114,Baidu,BIDU,$167.92,Technology Services,Internet Software/Services,NASDAQ
115,Biogen,BIIB,$273.03,Health Technology,Biotechnology,NASDAQ
116,Bilibili,BILI,$73.93,Technology Services,Internet Software/Services,NASDAQ
117,Bio-Rad Laboratories,BIO,$721.29,Health Technology,Medical Specialties,NYSE
118,Brookfield Infrastructure Partners,BIP,$57.16,Utilities,Alternative Power Generation,NYSE
119,Brookfield Infrastructure Corp,BIPC,$59.58,Utilities,Gas Distributors,NYSE
120,BJ’s Wholesale Club Holdings,BJ,$59.06,Retail Trade,Specialty Stores,NYSE
121,BNY Mellon,BK,$57.72,Finance,Major Banks,NYSE
122,Booking,BKNG,"$2,521.50",Consumer Services,Other Consumer Services,NASDAQ
123,Baker Hughes,BKR,$26.76,Industrial Services,Oilfield Services/Equipment,NYSE
124,Ballard Power Systems,BLDP,$16.16,Producer Manufacturing,Electrical Products,NASDAQ
125,BlackRock,BLK,$898.17,Finance,Investment Managers,NYSE
126,Ball Corporation,BLL,$90.13,Process Industries,Containers/Packaging,NYSE
127,Blink Charging,BLNK,$28.48,Consumer Services,Other Consumer Services,NASDAQ
128,Banco Macro,BMA,$17.18,Finance,Regional Banks,NYSE
129,Bumble Inc.,BMBL,$52.44,Technology Services,Packaged Software,NASDAQ
130,Biomarin Pharmaceutical,BMRN,$74.53,Health Technology,Biotechnology,NASDAQ
131,Bristol-Myers Squibb,BMY,$57.61,Health Technology,Pharmaceuticals: Major,NYSE
132,BioNTech SE,BNTX,$254.41,Health Technology,Biotechnology,NASDAQ
133,Box,BOX,$26.17,Technology Services,Information Technology Services,NYSE
134,BP plc,BP,$29.82,Energy Minerals,Integrated Oil,NYSE
135,BRF,BRFS,$4.54,Consumer Non-Durables,Food: Meat/Fish/Dairy,NYSE
136,Berkshire Hathaway,BRK.B,$282.71,Finance,Multi-Line Insurance,NYSE
137,Brixmor Property Group,BRX,$23.38,Finance,Real Estate Investment Trusts,NYSE
138,Banco Santander (Brasil),BSBR,$6.70,Finance,Regional Banks,NYSE
139,Grupo Financiero Santander Mexico,BSMX,$5.69,Finance,Regional Banks,NYSE
140,Boston Scientific,BSX,$42.81,Health Technology,Medical Specialties,NYSE
141,Burgundy Technology Acquisition Corp,BTAQ,$9.96,Finance,Financial Conglomerates,NASDAQ
142,B2Gold Corporation,BTG,$3.93,Non-Energy Minerals,Precious Metals,NYSE AMERICAN
143,BTWN,BTWN,$9.81,Finance,Financial Conglomerates,NASDAQ
144,Anheuser Busch Inbev NV,BUD,$55.20,Consumer Non-Durables,Beverages: Alcoholic,NYSE
145,Compañía de Minas Buenaventura,BVN,$8.36,Non-Energy Minerals,Precious Metals,NYSE
146,BorgWarner,BWA,$45.87,Producer Manufacturing,Auto Parts: OEM,NYSE
147,Blackstone,BX,$122.83,Finance,Investment Managers,NYSE
148,Beyond Meat,BYND,$105.77,Consumer Non-Durables,Food: Major Diversified,NASDAQ
149,Baozun Inc,BZUN,$19.09,Retail Trade,Internet Retail,NASDAQ
150,Citigroup,C,$72.07,Finance,Financial Conglomerates,NYSE
151,Cable One,CABO,"$1,750.00",Consumer Services,Cable/Satellite TV,NYSE
152,ConAgra Foods,CAG,$33.26,Consumer Non-Durables,Food: Major Diversified,NYSE
153,Cardinal Health,CAH,$47.81,Distribution Services,Medical Distributors,NYSE
154,Canon,CAJ,$24.83,Electronic Technology,Electronic Equipment/Instruments,NYSE
155,Cano Health,CANO,$11.09,Finance,Financial Conglomerates,NYSE
156,Carrier Global Corp,CARR,$53.39,Producer Manufacturing,Industrial Machinery,NYSE
157,Cars.com,CARS,$12.08,Technology Services,Internet Software/Services,NYSE
158,Caterpillar,CAT,$197.72,Producer Manufacturing,Trucks/Construction/Farm Machinery,NYSE
159,CBOE Holdings,CBOE,$125.61,Finance,Investment Banks/Brokers,NYSE AMERICAN
160,CBRE Group,CBRE,$102.03,Finance,Real Estate Development,NYSE
161,"Chemours Company, The",CC,$30.60,Process Industries,Industrial Specialties,NYSE
162,CCC Intelligent Solutions,CCCS,$10.22,Finance,Financial Conglomerates,NYSE
163,Crown Castle,CCI,$167.48,Finance,Real Estate Investment Trusts,NYSE
164,Carnival,CCL,$23.11,Consumer Services,Hotels/Resorts/Cruise lines,NYSE
165,Coeur Mining,CDE,$6.28,Non-Energy Minerals,Precious Metals,NYSE
166,Cadence Design Systems,CDNS,$155.66,Technology Services,Packaged Software,NASDAQ
167,Cerner,CERN,$71.14,Technology Services,Information Technology Services,NASDAQ
168,CF Industries Holdings,CF,$60.27,Process Industries,Chemicals: Agricultural,NYSE
169,Citizens Financial Group,CFG,$48.71,Finance,Regional Banks,NYSE
170,Carlyle Group,CG,$51.61,Finance,Investment Managers,NASDAQ
171,Canopy Growth Corporation,CGC,$13.46,Process Industries,Agricultural Commodities/Milling,NASDAQ
172,Cognex Corporation,CGNX,$84.98,Electronic Technology,Electronic Equipment/Instruments,NASDAQ
